"","V.device.id","V.device.location","V.message","V.message1","V.route","V.bound","V.mile.post","V.source.type","V.start.time","V.end.time","V.duration","V.frames","V.lines.per.frame","V.intent","V.slow","V.caution","V.speed","V.canyon","V.select.location","V.select.message"
"164",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-16 07:23:00,2021-12-17 07:01:00,85080,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"165",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-17 07:01:00,2021-12-17 07:17:00,960,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"166",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-17 07:17:00,2021-12-17 07:44:00,1620,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"167",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-17 07:47:00,2021-12-17 08:11:00,1440,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"168",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-17 08:11:00,2021-12-17 11:15:00,11040,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"169",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2021-12-17 11:15:00,2021-12-17 11:19:00,240,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
"170",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS SLOW DOWN   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>SLOW DOWN</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","sdresher",2021-12-17 13:19:00,2021-12-17 22:24:00,32700,1,3,"weather",TRUE,FALSE,FALSE,"Sardine","true","true"
"171",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING IN CANYON USE CAUTION   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>IN CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","dolsen2",2021-12-23 17:47:00,2021-12-23 23:21:00,20040,1,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"172",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THROUGH CANYON USE CAUTION WINTER DRIVING THROUGH CANYON REDUCE SPEED","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THROUGH CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THROUGH CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2021-12-23 23:21:00,2021-12-24 02:55:00,12840,2,3,"weather",FALSE,TRUE,TRUE,"Sardine","true","true"
"173",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS REDUCE SPEED   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","dolsen2",2021-12-24 16:36:00,2021-12-24 16:44:00,480,1,3,"weather",FALSE,FALSE,TRUE,"Sardine","true","true"
